id;instrumento;acorde;acorde_enarmonico;tonica;tonica_pt;qualidade;formula_intervalar;inversao_numero;inversao_nome;notas_ordenadas;notas_separadas;baixo_sugerido;mao_esquerda_sugerida;mao_direita_sugerida;oitava_referencia;observacoes;fonte
teclado-C-0;teclado;C;;C;Dó;maior;1 3 5;0;posição fundamental;C-E-G;C|E|G;C;C;C-E-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C-1;teclado;C;;C;Dó;maior;1 3 5;1;1ª inversão;E-G-C;E|G|C;E;C;E-G-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C-2;teclado;C;;C;Dó;maior;1 3 5;2;2ª inversão;G-C-E;G|C|E;G;C;G-C-E;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm-0;teclado;Cm;;C;Dó;menor;1 b3 5;0;posição fundamental;C-D#-G;C|D#|G;C;C;C-D#-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm-1;teclado;Cm;;C;Dó;menor;1 b3 5;1;1ª inversão;D#-G-C;D#|G|C;D#;C;D#-G-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cm-2;teclado;Cm;;C;Dó;menor;1 b3 5;2;2ª inversão;G-C-D#;G|C|D#;G;C;G-C-D#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C7-0;teclado;C7;;C;Dó;sétima dominante;1 3 5 b7;0;posição fundamental;C-E-G-A#;C|E|G|A#;C;C;C-E-G-A#;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C7-1;teclado;C7;;C;Dó;sétima dominante;1 3 5 b7;1;1ª inversão;E-G-A#-C;E|G|A#|C;E;C;E-G-A#-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C7-2;teclado;C7;;C;Dó;sétima dominante;1 3 5 b7;2;2ª inversão;G-A#-C-E;G|A#|C|E;G;C;G-A#-C-E;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-C7-3;teclado;C7;;C;Dó;sétima dominante;1 3 5 b7;3;3ª inversão;A#-C-E-G;A#|C|E|G;A#;C;A#-C-E-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cmaj7-0;teclado;Cmaj7;;C;Dó;sétima maior;1 3 5 7;0;posição fundamental;C-E-G-B;C|E|G|B;C;C;C-E-G-B;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cmaj7-1;teclado;Cmaj7;;C;Dó;sétima maior;1 3 5 7;1;1ª inversão;E-G-B-C;E|G|B|C;E;C;E-G-B-C;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cmaj7-2;teclado;Cmaj7;;C;Dó;sétima maior;1 3 5 7;2;2ª inversão;G-B-C-E;G|B|C|E;G;C;G-B-C-E;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
teclado-Cmaj7-3;teclado;Cmaj7;;C;Dó;sétima maior;1 3 5 7;3;3ª inversão;B-C-E-G;B|C|E|G;B;C;B-C-E-G;"C4 como dó central; ajustar conforme tessitura";Voicing teórico fechado. O desenvolvedor pode distribuir notas entre oitavas e omitir duplicações.;"Dicionário de acordes para teclado anexado; estrutura normalizada por teoria musical."
